label,lat,lon,system,speed,datetime_utc,date_time_c,fdom,wtemp,chl_rfu,chl_ugl,turb,B2,B3,B4,B5,SCL,ndti,ndci,flag,flagneighbor,dwl
1,31.86237,-99.01847,brownwood,2.5,2022-08-06T17:54:37Z,2022-08-06T12:54:37Z,8.74,30.09,1.59,10.92,8.76,528,641,413,423,6,-0.2163187855787476,0.01196172248803827,0,0,518
1,33.74623,-98.38745,arrowhead,0,2022-08-12T14:48:01Z,2022-08-12T09:48:01Z,11.92,29.73,2.74,14.93,16.61,587,850,536,533,6,-0.22655122655122656,-0.00280636108512628,0,0,543
2,31.86237,-99.01846,brownwood,2.5,2022-08-06T17:54:38Z,2022-08-06T12:54:38Z,8.74,30.09,1.59,10.93,8.77,528,641,413,423,6,-0.2163187855787476,0.01196172248803827,0,0,518
3,31.86236,-99.01845,brownwood,2.5,2022-08-06T17:54:39Z,2022-08-06T12:54:39Z,8.75,30.09,1.61,10.99,8.82,528,641,413,423,6,-0.2163187855787476,0.01196172248803827,0,0,518
4,31.86235,-99.01844,brownwood,2.5,2022-08-06T17:54:40Z,2022-08-06T12:54:40Z,8.75,30.09,1.62,11.01,8.83,528,641,413,423,6,-0.2163187855787476,0.01196172248803827,0,0,518
5,31.86234,-99.01842,brownwood,2.5,2022-08-06T17:54:41Z,2022-08-06T12:54:41Z,8.75,30.09,1.62,11.04,8.85,626,814,523,504,6,-0.2176514584891548,-0.01850048685491723,0,0,531
7,31.86233,-99.01841,brownwood,2,2022-08-06T17:54:43Z,2022-08-06T12:54:43Z,8.75,30.09,1.64,11.08,8.89,626,814,523,504,6,-0.2176514584891548,-0.01850048685491723,0,0,531
8,31.86232,-99.0184,brownwood,2.7,2022-08-06T17:54:44Z,2022-08-06T12:54:44Z,8.74,30.1,1.64,11.09,8.92,626,814,523,504,6,-0.2176514584891548,-0.01850048685491723,0,0,531
9,31.86231,-99.01839,brownwood,2.1,2022-08-06T17:54:45Z,2022-08-06T12:54:45Z,8.73,30.1,1.62,11.02,8.96,626,814,523,504,6,-0.2176514584891548,-0.01850048685491723,0,0,531
10,31.8623,-99.01839,brownwood,2.7,2022-08-06T17:54:46Z,2022-08-06T12:54:46Z,8.72,30.1,1.62,11.03,8.99,626,814,523,504,6,-0.2176514584891548,-0.01850048685491723,0,0,531
11,31.86229,-99.01837,brownwood,3.6,2022-08-06T17:54:47Z,2022-08-06T12:54:47Z,8.72,30.1,1.64,11.1,8.94,626,814,523,504,6,-0.2176514584891548,-0.01850048685491723,0,0,531
12,31.86229,-99.01836,brownwood,2.9,2022-08-06T17:54:48Z,2022-08-06T12:54:48Z,8.73,30.1,1.68,11.22,8.99,626,814,523,504,6,-0.2176514584891548,-0.01850048685491723,0,0,531
12,33.74623,-98.38746,arrowhead,0,2022-08-12T14:48:12Z,2022-08-12T09:48:12Z,11.85,29.75,2.88,15.41,16.76,587,850,536,533,6,-0.22655122655122656,-0.00280636108512628,0,0,543
13,31.86228,-99.01835,brownwood,3.2,2022-08-06T17:54:49Z,2022-08-06T12:54:49Z,8.72,30.1,1.7,11.31,8.99,626,814,523,504,6,-0.2176514584891548,-0.01850048685491723,0,0,531
14,31.86227,-99.01833,brownwood,3.3,2022-08-06T17:54:50Z,2022-08-06T12:54:50Z,8.72,30.1,1.71,11.34,8.99,626,814,523,504,6,-0.2176514584891548,-0.01850048685491723,0,0,531
15,31.86226,-99.01832,brownwood,2.8,2022-08-06T17:54:51Z,2022-08-06T12:54:51Z,8.72,30.1,1.72,11.35,8.97,626,814,523,504,6,-0.2176514584891548,-0.01850048685491723,0,0,531
16,31.86226,-99.0183,brownwood,2.8,2022-08-06T17:54:52Z,2022-08-06T12:54:52Z,8.74,30.1,1.72,11.38,8.97,626,814,523,504,6,-0.2176514584891548,-0.01850048685491723,0,0,531
16,33.74623,-98.38747,arrowhead,0,2022-08-12T14:48:16Z,2022-08-12T09:48:16Z,11.84,29.75,2.09,12.67,16.89,587,850,536,533,6,-0.22655122655122656,-0.00280636108512628,0,0,543
17,31.86225,-99.01829,brownwood,2.6,2022-08-06T17:54:53Z,2022-08-06T12:54:53Z,8.73,30.1,1.73,11.39,8.94,626,814,523,504,6,-0.2176514584891548,-0.01850048685491723,0,0,531
18,31.86225,-99.01827,brownwood,3,2022-08-06T17:54:54Z,2022-08-06T12:54:54Z,8.73,30.1,1.73,11.42,8.91,626,814,523,504,6,-0.2176514584891548,-0.01850048685491723,0,0,531
19,31.86225,-99.01826,brownwood,2.9,2022-08-06T17:54:55Z,2022-08-06T12:54:55Z,8.73,30.1,1.73,11.41,8.94,626,814,523,504,6,-0.2176514584891548,-0.01850048685491723,0,0,531
19,33.74624,-98.38747,arrowhead,0.5,2022-08-12T14:48:19Z,2022-08-12T09:48:19Z,11.83,29.74,2.62,14.52,16.89,587,850,536,533,6,-0.22655122655122656,-0.00280636108512628,0,0,543
20,31.86224,-99.01824,brownwood,3.1,2022-08-06T17:54:56Z,2022-08-06T12:54:56Z,8.73,30.09,1.75,11.49,8.93,626,814,523,504,6,-0.2176514584891548,-0.01850048685491723,0,0,531
21,31.86224,-99.01823,brownwood,3,2022-08-06T17:54:57Z,2022-08-06T12:54:57Z,8.73,30.09,1.76,11.5,8.87,581,743,511,484,6,-0.1850079744816587,-0.02713567839195979,0,0,536
22,31.86224,-99.01821,brownwood,3,2022-08-06T17:54:58Z,2022-08-06T12:54:58Z,8.72,30.09,1.75,11.47,8.96,581,743,511,484,6,-0.1850079744816587,-0.02713567839195979,0,0,536
23,31.86223,-99.0182,brownwood,2.6,2022-08-06T17:54:59Z,2022-08-06T12:54:59Z,8.72,30.09,1.77,11.53,8.94,581,743,511,484,6,-0.1850079744816587,-0.02713567839195979,0,0,536
23,33.74625,-98.38747,arrowhead,0.8,2022-08-12T14:48:23Z,2022-08-12T09:48:23Z,11.88,29.74,2.71,14.82,16.88,587,850,536,533,6,-0.22655122655122656,-0.00280636108512628,0,0,543
24,31.86223,-99.01819,brownwood,2.9,2022-08-06T17:55:00Z,2022-08-06T12:55:00Z,8.73,30.09,1.76,11.51,8.92,581,743,511,484,6,-0.1850079744816587,-0.02713567839195979,0,0,536
24,33.74625,-98.38748,arrowhead,0.8,2022-08-12T14:48:24Z,2022-08-12T09:48:24Z,11.88,29.74,2.71,14.81,16.89,587,850,536,533,6,-0.22655122655122656,-0.00280636108512628,0,0,543
25,31.86223,-99.01817,brownwood,3.1,2022-08-06T17:55:01Z,2022-08-06T12:55:01Z,8.72,30.09,1.74,11.44,8.95,581,743,511,484,6,-0.1850079744816587,-0.02713567839195979,0,0,536
25,33.74626,-98.38748,arrowhead,1.1,2022-08-12T14:48:25Z,2022-08-12T09:48:25Z,11.89,29.74,2.68,14.72,16.87,587,850,536,533,6,-0.22655122655122656,-0.00280636108512628,0,0,543
26,31.86223,-99.01815,brownwood,3.1,2022-08-06T17:55:02Z,2022-08-06T12:55:02Z,8.72,30.09,1.73,11.39,8.97,581,743,511,484,6,-0.1850079744816587,-0.02713567839195979,0,0,536
26,33.74626,-98.38749,arrowhead,1.1,2022-08-12T14:48:26Z,2022-08-12T09:48:26Z,11.88,29.74,2.67,14.69,16.91,587,850,536,533,6,-0.22655122655122656,-0.00280636108512628,0,0,543
27,31.86223,-99.01813,brownwood,3.3,2022-08-06T17:55:03Z,2022-08-06T12:55:03Z,8.71,30.1,1.71,11.33,8.95,581,743,511,484,6,-0.1850079744816587,-0.02713567839195979,0,0,536
27,33.74627,-98.38749,arrowhead,1.3,2022-08-12T14:48:27Z,2022-08-12T09:48:27Z,11.89,29.74,2.65,14.63,16.99,587,850,536,533,6,-0.22655122655122656,-0.00280636108512628,0,0,543
28,31.86223,-99.01811,brownwood,3.1,2022-08-06T17:55:04Z,2022-08-06T12:55:04Z,8.71,30.1,1.68,11.24,9,581,743,511,484,6,-0.1850079744816587,-0.02713567839195979,0,0,536
28,33.74628,-98.38749,arrowhead,1.4,2022-08-12T14:48:28Z,2022-08-12T09:48:28Z,11.91,29.74,2.63,14.53,17.05,587,850,536,533,6,-0.22655122655122656,-0.00280636108512628,0,0,543
29,31.86223,-99.0181,brownwood,3.1,2022-08-06T17:55:05Z,2022-08-06T12:55:05Z,8.71,30.1,1.66,11.15,9.04,581,743,511,484,6,-0.1850079744816587,-0.02713567839195979,0,0,536
29,33.74629,-98.38749,arrowhead,1.5,2022-08-12T14:48:29Z,2022-08-12T09:48:29Z,11.89,29.74,2.61,14.46,17.1,587,850,536,533,6,-0.22655122655122656,-0.00280636108512628,0,0,543
30,31.86223,-99.01808,brownwood,3.5,2022-08-06T17:55:06Z,2022-08-06T12:55:06Z,8.71,30.1,1.66,11.16,9.02,581,743,511,484,6,-0.1850079744816587,-0.02713567839195979,0,0,536
30,33.7463,-98.38749,arrowhead,1.8,2022-08-12T14:48:30Z,2022-08-12T09:48:30Z,11.88,29.74,2.59,14.4,17.08,587,850,536,533,6,-0.22655122655122656,-0.00280636108512628,0,0,543
31,31.86223,-99.01806,brownwood,3.6,2022-08-06T17:55:07Z,2022-08-06T12:55:07Z,8.7,30.11,1.64,11.1,9.04,581,743,511,484,6,-0.1850079744816587,-0.02713567839195979,0,0,536
31,33.74631,-98.38749,arrowhead,2.2,2022-08-12T14:48:31Z,2022-08-12T09:48:31Z,11.89,29.74,2.59,14.4,17.15,587,850,536,533,6,-0.22655122655122656,-0.00280636108512628,0,0,543
32,31.86223,-99.01804,brownwood,3,2022-08-06T17:55:08Z,2022-08-06T12:55:08Z,8.7,30.11,1.9,12,9.04,581,743,511,484,6,-0.1850079744816587,-0.02713567839195979,0,0,536
32,33.74632,-98.38749,arrowhead,2.4,2022-08-12T14:48:32Z,2022-08-12T09:48:32Z,11.88,29.74,2.56,14.29,17.14,587,850,536,533,6,-0.22655122655122656,-0.00280636108512628,0,0,543
33,31.86224,-99.01801,brownwood,2.9,2022-08-06T17:55:10Z,2022-08-06T12:55:10Z,8.69,30.12,1.73,11.39,9.15,581,743,511,484,6,-0.1850079744816587,-0.02713567839195979,0,0,536
33,33.746339999999996,-98.3875,arrowhead,2.8,2022-08-12T14:48:33Z,2022-08-12T09:48:33Z,11.89,29.74,2.57,14.35,17.14,587,850,536,533,6,-0.22655122655122656,-0.00280636108512628,0,0,543
34,31.86225,-99.01797,brownwood,2.8,2022-08-06T17:55:12Z,2022-08-06T12:55:12Z,8.69,30.12,1.59,10.92,9.17,505,632,413,400,6,-0.20956937799043063,-0.01599015990159901,0,0,525
34,33.74635,-98.3875,arrowhead,3,2022-08-12T14:48:34Z,2022-08-12T09:48:34Z,11.9,29.74,2.58,14.35,17.19,587,850,536,533,6,-0.22655122655122656,-0.00280636108512628,0,0,543
35,31.86225,-99.01796,brownwood,2.9,2022-08-06T17:55:13Z,2022-08-06T12:55:13Z,8.69,30.13,1.59,10.92,9.19,505,632,413,400,6,-0.20956937799043063,-0.01599015990159901,0,0,525
35,33.74637,-98.3875,arrowhead,3.2,2022-08-12T14:48:35Z,2022-08-12T09:48:35Z,11.91,29.74,2.57,14.35,17.26,587,850,536,533,6,-0.22655122655122656,-0.00280636108512628,0,0,543
36,31.86226,-99.01794,brownwood,3.1,2022-08-06T17:55:14Z,2022-08-06T12:55:14Z,8.7,30.13,1.57,10.84,9.13,505,632,413,400,6,-0.20956937799043063,-0.01599015990159901,0,0,525
36,33.74639,-98.3875,arrowhead,3.5,2022-08-12T14:48:36Z,2022-08-12T09:48:36Z,11.92,29.73,2.6,14.42,17.25,582,841,536,534,6,-0.2214960058097313,-0.00186915887850467,0,0,543
37,31.86227,-99.01793,brownwood,3.1,2022-08-06T17:55:15Z,2022-08-06T12:55:15Z,8.71,30.13,1.52,10.69,9.15,505,632,413,400,6,-0.20956937799043063,-0.01599015990159901,0,0,525
37,33.74641,-98.3875,arrowhead,3.8,2022-08-12T14:48:37Z,2022-08-12T09:48:37Z,11.91,29.73,2.59,14.4,17.28,582,841,536,534,6,-0.2214960058097313,-0.00186915887850467,0,0,543
38,31.86227,-99.01791,brownwood,3.4,2022-08-06T17:55:16Z,2022-08-06T12:55:16Z,8.71,30.14,1.52,10.67,9.12,505,632,413,400,6,-0.20956937799043063,-0.01599015990159901,0,0,525
38,33.74643,-98.3875,arrowhead,3.9,2022-08-12T14:48:38Z,2022-08-12T09:48:38Z,11.92,29.73,2.6,14.43,17.27,582,841,536,534,6,-0.2214960058097313,-0.00186915887850467,0,0,543
39,31.86228,-99.0179,brownwood,3.4,2022-08-06T17:55:17Z,2022-08-06T12:55:17Z,8.7,30.14,1.5,10.61,9.1,505,632,413,400,6,-0.20956937799043063,-0.01599015990159901,0,0,525
39,33.74644,-98.38749,arrowhead,4.1,2022-08-12T14:48:39Z,2022-08-12T09:48:39Z,11.94,29.73,2.62,14.52,17.27,582,841,536,534,6,-0.2214960058097313,-0.00186915887850467,0,0,543
40,31.86228,-99.01788,brownwood,3.8,2022-08-06T17:55:18Z,2022-08-06T12:55:18Z,8.69,30.14,1.5,10.59,9.04,505,632,413,400,6,-0.20956937799043063,-0.01599015990159901,0,0,525
40,33.74646,-98.38748,arrowhead,4.2,2022-08-12T14:48:40Z,2022-08-12T09:48:40Z,11.93,29.73,2.63,14.54,17.28,582,841,536,534,6,-0.2214960058097313,-0.00186915887850467,0,0,543
41,31.86229,-99.01785,brownwood,4.1,2022-08-06T17:55:19Z,2022-08-06T12:55:19Z,8.7,30.14,1.48,10.53,9.03,505,632,413,400,6,-0.20956937799043063,-0.01599015990159901,0,0,525
41,33.74648,-98.38748,arrowhead,4.3,2022-08-12T14:48:41Z,2022-08-12T09:48:41Z,11.92,29.73,2.61,14.47,17.29,582,841,536,534,6,-0.2214960058097313,-0.00186915887850467,0,0,543
42,31.86228,-99.01783,brownwood,5,2022-08-06T17:55:20Z,2022-08-06T12:55:20Z,8.69,30.14,1.45,10.42,8.91,505,632,413,400,6,-0.20956937799043063,-0.01599015990159901,0,0,525
42,33.7465,-98.38747,arrowhead,4.4,2022-08-12T14:48:42Z,2022-08-12T09:48:42Z,11.91,29.73,2.61,14.47,17.24,582,841,536,534,6,-0.2214960058097313,-0.00186915887850467,0,0,543
43,31.86228,-99.0178,brownwood,5.4,2022-08-06T17:55:21Z,2022-08-06T12:55:21Z,8.68,30.14,1.4,10.27,8.85,505,632,413,400,6,-0.20956937799043063,-0.01599015990159901,0,0,525
43,33.74652,-98.38747,arrowhead,4.4,2022-08-12T14:48:43Z,2022-08-12T09:48:43Z,11.92,29.73,2.61,14.46,17.16,582,841,536,534,6,-0.2214960058097313,-0.00186915887850467,0,0,543
44,31.86226,-99.01778,brownwood,6.1,2022-08-06T17:55:22Z,2022-08-06T12:55:22Z,8.68,30.14,1.39,10.21,8.86,505,632,413,400,6,-0.20956937799043063,-0.01599015990159901,0,0,525
44,33.74654,-98.38745,arrowhead,4.6,2022-08-12T14:48:44Z,2022-08-12T09:48:44Z,11.91,29.74,2.6,14.43,17.06,582,841,536,534,6,-0.2214960058097313,-0.00186915887850467,0,0,543
45,31.86225,-99.01775,brownwood,6.4,2022-08-06T17:55:23Z,2022-08-06T12:55:23Z,8.67,30.14,1.37,10.16,8.84,505,632,413,400,6,-0.20956937799043063,-0.01599015990159901,0,0,525
45,33.74656,-98.38744,arrowhead,4.6,2022-08-12T14:48:45Z,2022-08-12T09:48:45Z,11.9,29.74,2.6,14.42,17.02,582,841,536,534,6,-0.2214960058097313,-0.00186915887850467,0,0,543
46,31.86224,-99.01772,brownwood,6.7,2022-08-06T17:55:24Z,2022-08-06T12:55:24Z,8.66,30.14,1.36,10.1,8.83,505,632,413,400,6,-0.20956937799043063,-0.01599015990159901,0,0,525
46,33.74658,-98.38744,arrowhead,4.7,2022-08-12T14:48:46Z,2022-08-12T09:48:46Z,11.91,29.74,2.6,14.42,16.93,582,841,536,534,6,-0.2214960058097313,-0.00186915887850467,0,0,543
47,31.86222,-99.01768,brownwood,7.3,2022-08-06T17:55:25Z,2022-08-06T12:55:25Z,8.68,30.14,1.33,10.01,8.78,415,508,324,297,6,-0.22115384615384617,-0.04347826086956521,0,0,518
47,33.7466,-98.38742,arrowhead,4.9,2022-08-12T14:48:47Z,2022-08-12T09:48:47Z,11.91,29.75,2.58,14.38,16.92,582,841,536,534,6,-0.2214960058097313,-0.00186915887850467,0,0,543
48,31.8622,-99.01764,brownwood,7.9,2022-08-06T17:55:26Z,2022-08-06T12:55:26Z,8.69,30.14,1.32,9.96,8.73,415,508,324,297,6,-0.22115384615384617,-0.04347826086956521,0,0,518
48,33.74664,-98.38741,arrowhead,4.9,2022-08-12T14:48:49Z,2022-08-12T09:48:49Z,11.9,29.75,1.93,12.1,16.89,582,841,536,534,6,-0.2214960058097313,-0.00186915887850467,0,0,543
49,31.86218,-99.0176,brownwood,8.3,2022-08-06T17:55:27Z,2022-08-06T12:55:27Z,8.69,30.14,1.23,9.67,8.68,415,508,324,297,6,-0.22115384615384617,-0.04347826086956521,0,0,518
49,33.74666,-98.38739,arrowhead,5,2022-08-12T14:48:50Z,2022-08-12T09:48:50Z,11.91,29.75,2.79,15.1,16.78,615,870,545,536,6,-0.22968197879858657,-0.00832562442183163,0,0,540
50,31.86217,-99.01756,brownwood,8.1,2022-08-06T17:55:28Z,2022-08-06T12:55:28Z,8.71,30.14,1.21,9.6,8.67,415,508,324,297,6,-0.22115384615384617,-0.04347826086956521,0,0,518
50,33.74669,-98.38738,arrowhead,5.5,2022-08-12T14:48:51Z,2022-08-12T09:48:51Z,11.9,29.76,2.14,12.85,16.71,615,870,545,536,6,-0.22968197879858657,-0.00832562442183163,0,0,540
51,31.86214,-99.01752,brownwood,8.1,2022-08-06T17:55:29Z,2022-08-06T12:55:29Z,8.71,30.14,1.19,9.52,8.67,415,508,324,297,6,-0.22115384615384617,-0.04347826086956521,0,0,518
51,33.74671,-98.38737,arrowhead,5.8,2022-08-12T14:48:52Z,2022-08-12T09:48:52Z,11.89,29.76,2.77,15.04,16.65,615,870,545,536,6,-0.22968197879858657,-0.00832562442183163,0,0,540
52,31.86212,-99.01748,brownwood,8.5,2022-08-06T17:55:30Z,2022-08-06T12:55:30Z,8.71,30.14,1.11,9.24,8.61,415,508,324,297,6,-0.22115384615384617,-0.04347826086956521,0,0,518
52,33.74673,-98.38735,arrowhead,5.8,2022-08-12T14:48:53Z,2022-08-12T09:48:53Z,11.9,29.77,2.74,14.92,16.63,619,868,545,531,6,-0.22859164897381457,-0.01301115241635687,0,0,539
53,31.8621,-99.01744,brownwood,8.5,2022-08-06T17:55:31Z,2022-08-06T12:55:31Z,8.72,30.14,1,8.84,8.63,415,508,324,297,6,-0.22115384615384617,-0.04347826086956521,0,0,518
53,33.74675,-98.38734,arrowhead,5.8,2022-08-12T14:48:54Z,2022-08-12T09:48:54Z,11.89,29.77,2.65,14.62,16.66,619,868,545,531,6,-0.22859164897381457,-0.01301115241635687,0,0,539
54,31.86209,-99.0174,brownwood,8.3,2022-08-06T17:55:32Z,2022-08-06T12:55:32Z,8.73,30.14,1.44,10.38,8.59,404,495,324,317,6,-0.2087912087912088,-0.0109204368174727,0,0,521
54,33.74678,-98.38732,arrowhead,5.8,2022-08-12T14:48:55Z,2022-08-12T09:48:55Z,11.87,29.78,3.01,15.88,16.61,619,868,545,531,6,-0.22859164897381457,-0.01301115241635687,0,0,539
55,31.86207,-99.01736,brownwood,8.3,2022-08-06T17:55:33Z,2022-08-06T12:55:33Z,8.73,30.14,0.77,8.06,8.6,356,424,285,278,6,-0.19605077574047955,-0.01243339253996447,0,0,518
55,33.7468,-98.38731,arrowhead,5.9,2022-08-12T14:48:56Z,2022-08-12T09:48:56Z,11.87,29.78,2.57,14.34,16.56,619,868,545,531,6,-0.22859164897381457,-0.01301115241635687,0,0,539
56,31.86205,-99.01733,brownwood,8.3,2022-08-06T17:55:34Z,2022-08-06T12:55:34Z,8.74,30.13,0.92,8.57,8.65,356,424,285,278,6,-0.19605077574047955,-0.01243339253996447,0,0,518
56,33.74683,-98.38729,arrowhead,5.9,2022-08-12T14:48:57Z,2022-08-12T09:48:57Z,11.87,29.78,2.84,15.27,16.5,619,868,545,531,6,-0.22859164897381457,-0.01301115241635687,0,0,539
57,31.86204,-99.01729,brownwood,8.1,2022-08-06T17:55:35Z,2022-08-06T12:55:35Z,8.74,30.13,1.12,9.27,8.68,356,424,285,278,6,-0.19605077574047955,-0.01243339253996447,0,0,518
57,33.74686,-98.38728,arrowhead,6.1,2022-08-12T14:48:58Z,2022-08-12T09:48:58Z,11.86,29.78,3.02,15.92,16.46,619,868,545,531,6,-0.22859164897381457,-0.01301115241635687,0,0,539
58,31.86203,-99.01724,brownwood,8.3,2022-08-06T17:55:36Z,2022-08-06T12:55:36Z,8.75,30.13,1.28,9.84,8.74,356,424,285,278,6,-0.19605077574047955,-0.01243339253996447,0,0,518
58,33.74691,-98.38725,arrowhead,6.5,2022-08-12T14:49:00Z,2022-08-12T09:49:00Z,11.86,29.79,2.79,15.12,16.42,619,868,545,531,6,-0.22859164897381457,-0.01301115241635687,0,0,539
59,31.86201,-99.0172,brownwood,8.1,2022-08-06T17:55:37Z,2022-08-06T12:55:37Z,8.75,30.12,1.31,9.93,8.76,356,424,285,278,6,-0.19605077574047955,-0.01243339253996447,0,0,518
59,33.74693,-98.38723,arrowhead,6.6,2022-08-12T14:49:01Z,2022-08-12T09:49:01Z,11.86,29.79,2.53,14.19,16.39,596,852,527,526,6,-0.23567802755620015,-9.49667616334283e-4,0,0,540
60,31.862,-99.01717,brownwood,7.9,2022-08-06T17:55:38Z,2022-08-06T12:55:38Z,8.75,30.12,1.35,10.06,8.74,356,424,285,278,6,-0.19605077574047955,-0.01243339253996447,0,0,518
60,33.74696,-98.38721,arrowhead,6.6,2022-08-12T14:49:02Z,2022-08-12T09:49:02Z,11.87,29.79,2.77,15.02,16.46,596,852,527,526,6,-0.23567802755620015,-9.49667616334283e-4,0,0,540
61,31.86198,-99.01713,brownwood,8.2,2022-08-06T17:55:39Z,2022-08-06T12:55:39Z,8.75,30.12,1.35,10.07,8.67,398,487,332,322,6,-0.18925518925518925,-0.01529051987767584,0,0,526
61,33.74699,-98.38719,arrowhead,6.6,2022-08-12T14:49:03Z,2022-08-12T09:49:03Z,11.88,29.79,2.22,13.12,16.51,596,852,527,526,6,-0.23567802755620015,-9.49667616334283e-4,0,0,540
62,31.86196,-99.017080000000007,brownwood,8.4,2022-08-06T17:55:40Z,2022-08-06T12:55:40Z,8.74,30.12,1.36,10.1,8.63,398,487,332,322,6,-0.18925518925518925,-0.01529051987767584,0,0,526
62,33.74702,-98.38718,arrowhead,6.6,2022-08-12T14:49:04Z,2022-08-12T09:49:04Z,11.87,29.79,2.74,14.94,16.48,596,852,527,526,6,-0.23567802755620015,-9.49667616334283e-4,0,0,540
63,31.86194,-99.01704,brownwood,8.4,2022-08-06T17:55:41Z,2022-08-06T12:55:41Z,8.73,30.11,1.32,9.99,8.61,398,487,332,322,6,-0.18925518925518925,-0.01529051987767584,0,0,526
63,33.74705,-98.38716,arrowhead,6.8,2022-08-12T14:49:05Z,2022-08-12T09:49:05Z,11.87,29.79,2.74,14.92,16.54,596,852,527,526,6,-0.23567802755620015,-9.49667616334283e-4,0,0,540
64,31.86192,-99.01701,brownwood,8.6,2022-08-06T17:55:42Z,2022-08-06T12:55:42Z,8.74,30.11,1.33,10.01,8.58,398,487,332,322,6,-0.18925518925518925,-0.01529051987767584,0,0,526
64,33.74708,-98.38715,arrowhead,6.8,2022-08-12T14:49:06Z,2022-08-12T09:49:06Z,11.88,29.78,2.7,14.8,16.57,596,852,527,526,6,-0.23567802755620015,-9.49667616334283e-4,0,0,540
65,31.8619,-99.01697,brownwood,8.6,2022-08-06T17:55:43Z,2022-08-06T12:55:43Z,8.74,30.11,1.34,10.04,8.55,398,487,332,322,6,-0.18925518925518925,-0.01529051987767584,0,0,526
65,33.74711,-98.38713,arrowhead,6.8,2022-08-12T14:49:07Z,2022-08-12T09:49:07Z,11.88,29.78,2.43,13.85,16.57,596,852,527,526,6,-0.23567802755620015,-9.49667616334283e-4,0,0,540
66,31.86188,-99.01693,brownwood,8.8,2022-08-06T17:55:44Z,2022-08-06T12:55:44Z,8.73,30.1,1.34,10.03,8.58,398,487,332,322,6,-0.18925518925518925,-0.01529051987767584,0,0,526
66,33.74714,-98.38711,arrowhead,6.8,2022-08-12T14:49:08Z,2022-08-12T09:49:08Z,11.89,29.78,3.39,17.21,16.54,596,852,527,526,6,-0.23567802755620015,-9.49667616334283e-4,0,0,540
67,31.86186,-99.01688,brownwood,8.9,2022-08-06T17:55:45Z,2022-08-06T12:55:45Z,8.72,30.1,1.36,10.11,8.59,478,625,414,398,6,-0.2030798845043311,-0.01970443349753694,0,0,535
67,33.74717,-98.38709,arrowhead,6.8,2022-08-12T14:49:09Z,2022-08-12T09:49:09Z,11.88,29.78,3.09,16.16,16.53,596,852,527,526,6,-0.23567802755620015,-9.49667616334283e-4,0,0,540
68,31.86183,-99.01685,brownwood,8.9,2022-08-06T17:55:46Z,2022-08-06T12:55:46Z,8.7,30.1,1.35,10.09,8.57,478,625,414,398,6,-0.2030798845043311,-0.01970443349753694,0,0,535
68,33.7472,-98.38707,arrowhead,6.9,2022-08-12T14:49:10Z,2022-08-12T09:49:10Z,11.88,29.78,3.02,15.9,16.54,581,829,508,510,6,-0.24008975317875841,0.00196463654223968,0,0,539
69,31.86181,-99.01681,brownwood,8.9,2022-08-06T17:55:47Z,2022-08-06T12:55:47Z,8.7,30.09,1.34,10.03,8.55,478,625,414,398,6,-0.2030798845043311,-0.01970443349753694,0,0,535
69,33.74723,-98.38705,arrowhead,7.1,2022-08-12T14:49:11Z,2022-08-12T09:49:11Z,11.89,29.78,3.02,15.9,16.51,581,829,508,510,6,-0.24008975317875841,0.00196463654223968,0,0,539
70,31.86179,-99.01677,brownwood,9,2022-08-06T17:55:48Z,2022-08-06T12:55:48Z,8.69,30.09,1.33,10,8.5,440,590,372,365,6,-0.22661122661122665,-0.00949796472184531,0,0,534
70,33.74726,-98.38704,arrowhead,7.2,2022-08-12T14:49:12Z,2022-08-12T09:49:12Z,11.89,29.78,2.96,15.71,16.59,581,829,508,510,6,-0.24008975317875841,0.00196463654223968,0,0,539
71,31.86176,-99.01673,brownwood,9.5,2022-08-06T17:55:49Z,2022-08-06T12:55:49Z,8.7,30.08,1.31,9.93,8.48,440,590,372,365,6,-0.22661122661122665,-0.00949796472184531,0,0,534
71,33.7473,-98.38702,arrowhead,7.2,2022-08-12T14:49:13Z,2022-08-12T09:49:13Z,11.9,29.78,2.93,15.61,16.61,581,829,508,510,6,-0.24008975317875841,0.00196463654223968,0,0,539
72,31.86173,-99.01669,brownwood,9.3,2022-08-06T17:55:50Z,2022-08-06T12:55:50Z,8.72,30.08,1.29,9.88,8.48,440,590,372,365,6,-0.22661122661122665,-0.00949796472184531,0,0,534
72,33.74733,-98.387,arrowhead,7.2,2022-08-12T14:49:14Z,2022-08-12T09:49:14Z,11.9,29.79,2.89,15.47,16.64,581,829,508,510,6,-0.24008975317875841,0.00196463654223968,0,0,539
73,31.86171,-99.01665,brownwood,9.2,2022-08-06T17:55:51Z,2022-08-06T12:55:51Z,8.72,30.07,1.27,9.8,8.48,440,590,372,365,6,-0.22661122661122665,-0.00949796472184531,0,0,534
73,33.74736,-98.38699,arrowhead,7.2,2022-08-12T14:49:15Z,2022-08-12T09:49:15Z,11.91,29.79,2.89,15.45,16.7,581,829,508,510,6,-0.24008975317875841,0.00196463654223968,0,0,539
74,31.86168,-99.01661,brownwood,8.9,2022-08-06T17:55:52Z,2022-08-06T12:55:52Z,8.73,30.07,1.3,9.89,8.47,577,755,514,493,6,-0.18991331757289204,-0.0208540218470705,0,0,538
